pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
85,(-5),Kyle Jamieson,63865,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,447,488 v India at Nagpur 2026,2026-03-01,https://www.icc-cricket.com/rankings/63865/kyle-jamieson
86,( - ),Sandeep Lamichhane,66066,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,442,"514 v Papua New Guinea at Kirtipur, Nepal 2022",2026-03-01,https://www.icc-cricket.com/rankings/66066/sandeep-lamichhane
87,(-3),Washington Sundar,65859,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,440,634 v England at Ahmedabad 2021,2026-03-01,https://www.icc-cricket.com/rankings/65859/washington-sundar
88,(-2),Brydon Carse,65090,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,438,495 v New Zealand at Christchurch 2025,2026-03-01,https://www.icc-cricket.com/rankings/65090/brydon-carse
=,(+1),Kyle Klein,112100,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,438,438 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/112100/kyle-klein
90,(+1),Hasan Mahmud,67672,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,435,598 v United Arab Emirates at Sharjah 2025,2026-03-01,https://www.icc-cricket.com/rankings/67672/hasan-mahmud
91,(+1),Michael Leask,63917,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,434,434 v Nepal at Mumbai 2026,2026-03-01,https://www.icc-cricket.com/rankings/63917/michael-leask
92,(+1),Paul van Meekeren,63893,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,432,548 v Ireland at Rotterdam 2018,2026-03-01,https://www.icc-cricket.com/rankings/63893/paul-van-meekeren
=,(+1),Shakeel Ahmed,90742,181,Oman,OMN,28,Oman,https://www.icc-cricket.com/teams/28/oman-men/,432,438 v United Arab Emirates at Abu Dhabi 2025,2026-03-01,https://www.icc-cricket.com/rankings/90742/shakeel-ahmed
94,(+1),Barry McCarthy,63157,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,431,468 v Bangladesh at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/63157/barry-mccarthy
=,(-6),Ottneil Baartman,65089,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,431,482 v Pakistan at Centurion 2024,2026-03-01,https://www.icc-cricket.com/rankings/65089/ottneil-baartman
96,(-7),Zakary Foulkes,90571,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,429,520 v South Africa at Harare 2025,2026-03-01,https://www.icc-cricket.com/rankings/90571/zakary-foulkes
97,(-1),Gerhard Erasmus,57890,18,Namibia,NAM,20,Namibia,https://www.icc-cricket.com/teams/20/namibia-men/,428,431 v Zimbabwe at Namibia 2023,2026-03-01,https://www.icc-cricket.com/rankings/57890/gerhard-erasmus
98,( - ),Abbas Afridi,69965,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,415,610 v Bangladesh at Mirpur 2025,2026-03-01,https://www.icc-cricket.com/rankings/69965/abbas-afridi
99,( - ),Lalit Rajbanshi,45117,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,413,520 v Kuwait at Oman 2025,2026-03-01,https://www.icc-cricket.com/rankings/45117/lalit-rajbanshi
100,( - ),Sompal Kami,64545,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,412,425 v Qatar at Hong Kong 2025,2026-03-01,https://www.icc-cricket.com/rankings/64545/sompal-kami
