pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
45,(-6),James Neesham,10172,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,90,113 v United Arab Emirates at Dubai 2023,2026-03-01,https://www.icc-cricket.com/rankings/10172/james-neesham
46,(+4),Charith Asalanka,65038,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,89,109 v India at Dubai 2025,2026-03-01,https://www.icc-cricket.com/rankings/65038/charith-asalanka
=,(-2),Harmeet Singh,36489,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,89,106 v Namibia at Namibia 2024,2026-03-01,https://www.icc-cricket.com/rankings/36489/harmeet-singh
48,(-3),Mahedi Hasan,65473,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,88,108 v Afghanistan at Sharjah 2022,2026-03-01,https://www.icc-cricket.com/rankings/65473/mahedi-hasan
49,(-6),Corbin Bosch,63605,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,87,91 v India at Ahmedabad 2026,2026-03-01,https://www.icc-cricket.com/rankings/63605/corbin-bosch
50,(-3),Harry Tector,66085,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,86,86 v Oman at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66085/harry-tector
=,(-3),Curtis Campher,67442,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,86,128 v Netherlands at Netherlands 2024,2026-03-01,https://www.icc-cricket.com/rankings/67442/curtis-campher
52,(-7),Washington Sundar,65859,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,84,105 v Australia at Queensland 2025,2026-03-01,https://www.icc-cricket.com/rankings/65859/washington-sundar
53,(-2),Mitchell Marsh,10094,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,81,158 v Bangladesh at Mirpur 2021,2026-03-01,https://www.icc-cricket.com/rankings/10094/mitchell-marsh
54,(+1),Jacob Bethell,85736,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,79,83 v Scotland at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/85736/jacob-bethell
55,(-3),Faheem Ashraf,64321,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,77,110 v South Africa at Lahore 2025,2026-03-01,https://www.icc-cricket.com/rankings/64321/faheem-ashraf
56,(-3),Salman Agha,64078,6,Pakistan,PAK,6,Pakistan,https://www.icc-cricket.com/teams/6/pakistan-men/,76,81 v Namibia at Colombo (SSC) 2026,2026-03-01,https://www.icc-cricket.com/rankings/64078/salman-agha
57,( - ),Kamindu Mendis,65034,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,75,77 v New Zealand at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/65034/kamindu-mendis
=,(-1),Jan Nicol Loftie-Eaton,35623,18,Namibia,NAM,20,Namibia,https://www.icc-cricket.com/teams/20/namibia-men/,75,79 v USA at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/35623/jan-nicol-loftie-eaton
59,(+1),Sese Bau,61329,184,Papua New Guinea,PNG,750,Papua New Guinea,https://www.icc-cricket.com/teams/750/papua-new-guinea-men/,72,78 v Nepal at Hong Kong 2024,2026-03-01,https://www.icc-cricket.com/rankings/61329/sese-bau
