pos,change,country_id,country,shortname,team_id,team_name,team_url,matches,points,rating,rankdate
69,( - ),258,Zambia,ZMB,1718,Zambia,https://www.icc-cricket.com/teams/1718/zambia-men/,10,290,29,2026-03-01
70,( - ),87,Estonia,EST,1833,Estonia,https://www.icc-cricket.com/teams/1833/estonia-men/,24,665,28,2026-03-01
71,( - ),152,Malta,MLT,1785,Malta,https://www.icc-cricket.com/teams/1785/malta-men/,41,1085,26,2026-03-01
72,( - ),167,Mozambique,MOZ,1779,Mozambique,https://www.icc-cricket.com/teams/1779/mozambique-men/,20,518,26,2026-03-01
73,( - ),271,Eswatini,ESW,1735,Eswatini,https://www.icc-cricket.com/teams/1735/eswatini-men/,19,491,26,2026-03-01
74,( - ),124,Israel,ISR,1803,Israel,https://www.icc-cricket.com/teams/1803/israel-men/,7,178,25,2026-03-01
75,( - ),183,Panama,PAN,1771,Panama,https://www.icc-cricket.com/teams/1771/panama-men/,15,318,21,2026-03-01
76,( - ),43,Bhutan,BHU,1865,Bhutan,https://www.icc-cricket.com/teams/1865/bhutan-men/,35,728,21,2026-03-01
77,( - ),41,Belize,BIZ,1868,Belize,https://www.icc-cricket.com/teams/1868/belize-men/,8,164,21,2026-03-01
78,( - ),104,Gibraltar,GIB,1818,Gibraltar,https://www.icc-cricket.com/teams/1818/gibraltar-men/,26,494,19,2026-03-01
79,( - ),144,Luxembourg,LUX ,1793,Luxembourg,https://www.icc-cricket.com/teams/1793/luxembourg-men/,24,432,18,2026-03-01
80,( - ),209,Sierra Leone,SRL,1745,Sierra Leone,https://www.icc-cricket.com/teams/1745/sierra-leone-men/,27,477,18,2026-03-01
81,( - ),70,Costa Rica,CRI,1841,Costa Rica,https://www.icc-cricket.com/teams/1841/costa-rica-men/,13,218,17,2026-03-01
82,( - ),158,Mexico,MEX,1783,Mexico,https://www.icc-cricket.com/teams/1783/mexico-men/,18,287,16,2026-03-01
83,( - ),221,Suriname,SUR,1737,Suriname,https://www.icc-cricket.com/teams/1737/suriname-men/,8,119,15,2026-03-01
84,( - ),207,Serbia,SER,1749,Serbia,https://www.icc-cricket.com/teams/1749/serbia-men/,30,315,11,2026-03-01
85,( - ),150,Maldives,MDV,1789,Maldives,https://www.icc-cricket.com/teams/1789/maldives-men/,21,214,10,2026-03-01
86,( - ),56,Cameroon,CMR,1857,Cameroon,https://www.icc-cricket.com/teams/1857/cameroon-men/,11,86,8,2026-03-01
87,( - ),48,Brazil,BRA,1861,Brazil,https://www.icc-cricket.com/teams/1861/brazil-men/,12,90,8,2026-03-01
88,( - ),52,Bulgaria,BUL,1859,Bulgaria,https://www.icc-cricket.com/teams/1859/bulgaria-men/,29,191,7,2026-03-01
89,( - ),132,Korea,KOR,1741,Korea,https://www.icc-cricket.com/teams/1741/south-korea-men/,16,94,6,2026-03-01
90,( - ),219,St.Helena,SHN,1755,St Helena,https://www.icc-cricket.com/teams/1755/saint-helena-men/,8,44,6,2026-03-01
91,( - ),63,China,CHN,1850,China,https://www.icc-cricket.com/teams/1850/china-men/,6,29,5,2026-03-01
92,( - ),139,Lesotho,LES,1795,Lesotho,https://www.icc-cricket.com/teams/1795/lesotho-men/,11,24,2,2026-03-01
93,( - ),236,Turkiye,TUR ,1728,Turkiye,https://www.icc-cricket.com/teams/1728/turkiye-men/,12,26,2,2026-03-01
94,( - ),100,Gambia,GAM,1824,Gambia,https://www.icc-cricket.com/teams/1824/gambia-men/,8,6,1,2026-03-01
95,( - ),212,Slovenia,SVN,1742,Slovenia,https://www.icc-cricket.com/teams/1742/slovenia-men/,18,0,0,2026-03-01
95,( - ),208,Seychelles,SEY,1747,Seychelles,https://www.icc-cricket.com/teams/1747/seychelles-men/,7,0,0,2026-03-01
95,( - ),168,Myanmar,MMR,1777,Myanmar,https://www.icc-cricket.com/teams/1777/myanmar-men/,29,0,0,2026-03-01
95,( - ),151,Mali,MLI,1787,Mali,https://www.icc-cricket.com/teams/1787/mali-men/,9,0,0,2026-03-01
95,( - ),105,Greece,GRE,1816,Greece,https://www.icc-cricket.com/teams/1816/greece-men/,6,0,0,2026-03-01
95,( - ),72,Croatia,CRO,1839,Croatia,https://www.icc-cricket.com/teams/1839/croatia-men/,26,0,0,2026-03-01
95,( - ),163,Mongolia,MNG,4025,Mongolia,https://www.icc-cricket.com/teams/4025/mongolia-men/,13,0,0,2026-03-01
95,( - ),274,Timor-Leste,TL,4644,Timor-Leste,https://www.icc-cricket.com/teams/4644/timor-leste-men/,8,0,0,2026-03-01
