"player_id","batter","matches","inns","runs","h.s","100s"
"13625","Sahibzada Farhan","6","6","383","100","2"
"11172","Finn Allen","7","7","289","100","1"
"19636","Jacob Bethell","8","8","280","105","1"
"12201","Harry Brook","8","8","235","100","1"
"13682","Pathum Nissanka","7","7","211","100","1"
"1424075","Yuvraj Samra","4","4","144","110","1"
