match_id,date,innings,team,player,overs,balls_bowled,wickets,runs_conceded,economy,maidens,wides,no_balls
1512734,2026-02-12,1,Oman,J Ramanandi,4.0,24,2,41,10.25,0,1,0
1512734,2026-02-12,1,Oman,Jay Odedra,1.0,6,1,14,14.0,0,1,0
1512734,2026-02-12,1,Oman,Sufyan Mehmood,4.0,24,1,60,15.0,0,0,0
1512734,2026-02-12,1,Oman,Shah Faisal,4.0,24,0,32,8.0,0,0,0
1512734,2026-02-12,1,Oman,Nadeem Khan,4.0,24,0,40,10.0,0,0,0
1512734,2026-02-12,1,Oman,Wasim Ali,3.0,18,0,38,12.67,0,0,2
1512734,2026-02-12,2,Sri Lanka,M Theekshana,4.0,24,2,11,2.75,0,0,0
1512734,2026-02-12,2,Sri Lanka,PVD Chameera,2.0,12,2,19,9.5,0,1,0
1512734,2026-02-12,2,Sri Lanka,DN Wellalage,4.0,24,1,17,4.25,0,0,0
1512734,2026-02-12,2,Sri Lanka,PHKD Mendis,2.0,12,1,10,5.0,0,1,1
1512734,2026-02-12,2,Sri Lanka,MADI Hemantha,4.0,24,1,45,11.25,0,1,0
1512734,2026-02-12,2,Sri Lanka,M Pathirana,3.0,18,0,11,3.67,0,2,0
1512734,2026-02-12,2,Sri Lanka,MD Shanaka,1.0,6,0,7,7.0,0,0,0
