match_id,season,start_date,venue,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,ball_in_over,extra_ball,balls_remaining,runs_scored_yet,wicket,wickets_lost_yet,innings1_total,innings2_total,target,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,.groups
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,1,Pakistan,Namibia,Sahibzada Farhan,Saim Ayub,JJ Smit,1,0,1,False,119,1,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,2,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,JJ Smit,0,0,2,False,118,1,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,3,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,JJ Smit,0,0,3,False,117,1,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,4,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,JJ Smit,0,0,4,False,116,1,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,5,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,JJ Smit,2,0,5,False,115,3,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,1,6,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,JJ Smit,0,0,6,False,114,3,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,2,1,Pakistan,Namibia,Sahibzada Farhan,Saim Ayub,MG Erasmus,4,0,1,False,113,7,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,2,2,Pakistan,Namibia,Sahibzada Farhan,Saim Ayub,MG Erasmus,0,0,2,False,112,7,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,2,3,Pakistan,Namibia,Sahibzada Farhan,Saim Ayub,MG Erasmus,1,0,3,False,111,8,False,0,199,97,200,,,,,,,,,,drop
1512753,2025/26,2026-02-18,"Sinhalese Sports Club Ground, Colombo",1,2,4,Pakistan,Namibia,Saim Ayub,Sahibzada Farhan,MG Erasmus,1,0,4,False,110,9,False,0,199,97,200,,,,,,,,,,drop
