match_id,date,innings,team,player,overs,balls_bowled,wickets,runs_conceded,economy,maidens,wides,no_balls
1512732,2026-02-11,1,Ireland,MR Adair,4.0,24,2,44,11.0,0,1,0
1512732,2026-02-11,1,Ireland,GH Dockrell,4.0,24,1,31,7.75,0,0,0
1512732,2026-02-11,1,Ireland,HT Tector,3.0,18,1,24,8.0,0,0,0
1512732,2026-02-11,1,Ireland,MJ Humphreys,4.0,24,1,34,8.5,0,1,0
1512732,2026-02-11,1,Ireland,GJ Delany,2.0,12,0,12,6.0,0,0,0
1512732,2026-02-11,1,Ireland,BJ McCarthy,3.0,18,0,37,12.33,0,1,0
1512732,2026-02-11,2,Australia,NT Ellis,3.5,23,4,13,3.39,0,0,0
1512732,2026-02-11,2,Australia,A Zampa,4.0,24,4,25,6.25,0,0,0
1512732,2026-02-11,2,Australia,MP Kuhnemann,4.0,24,1,29,7.25,0,0,0
1512732,2026-02-11,2,Australia,C Connolly,3.0,18,0,26,8.67,0,0,0
1512732,2026-02-11,2,Australia,XC Bartlett,2.0,12,0,22,11.0,0,0,0
