match_id,season,start_date,venue,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,ball_in_over,extra_ball,balls_remaining,runs_scored_yet,wicket,wickets_lost_yet,innings1_total,innings2_total,target,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,.groups
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,1,United States of America,Netherlands,MD Patel,Shayan Jahangir,A Dutt,1,0,1,False,119,1,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,2,United States of America,Netherlands,Shayan Jahangir,MD Patel,A Dutt,0,0,2,False,118,1,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,3,United States of America,Netherlands,Shayan Jahangir,MD Patel,A Dutt,0,0,3,False,117,1,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,4,United States of America,Netherlands,Shayan Jahangir,MD Patel,A Dutt,6,0,4,False,116,7,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,5,United States of America,Netherlands,Shayan Jahangir,MD Patel,A Dutt,3,0,5,False,115,10,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,6,United States of America,Netherlands,MD Patel,Shayan Jahangir,A Dutt,2,0,6,False,114,12,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,1,United States of America,Netherlands,Shayan Jahangir,MD Patel,LV van Beek,6,0,1,False,113,18,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,2,United States of America,Netherlands,Shayan Jahangir,MD Patel,LV van Beek,0,4,2,False,112,22,False,0,196,103,197,,,,4.0,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,3,United States of America,Netherlands,Shayan Jahangir,MD Patel,LV van Beek,0,0,3,False,111,22,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,4,United States of America,Netherlands,Shayan Jahangir,MD Patel,LV van Beek,0,0,4,False,110,22,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,5,United States of America,Netherlands,Shayan Jahangir,MD Patel,LV van Beek,1,0,5,False,109,23,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,6,United States of America,Netherlands,MD Patel,Shayan Jahangir,LV van Beek,0,0,6,False,108,23,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,1,United States of America,Netherlands,Shayan Jahangir,MD Patel,K Klein,0,0,1,False,107,23,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,2,United States of America,Netherlands,Shayan Jahangir,MD Patel,K Klein,0,0,2,False,106,23,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,3,United States of America,Netherlands,Shayan Jahangir,MD Patel,K Klein,0,0,3,False,105,23,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,4,United States of America,Netherlands,Shayan Jahangir,MD Patel,K Klein,4,0,4,False,104,27,False,0,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,5,United States of America,Netherlands,Shayan Jahangir,MD Patel,K Klein,0,0,5,False,103,27,True,1,196,103,197,,,,,,bowled,Shayan Jahangir,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,3,6,United States of America,Netherlands,SR Mukkamalla,MD Patel,K Klein,0,0,6,False,102,27,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,1,United States of America,Netherlands,MD Patel,SR Mukkamalla,LV van Beek,0,0,1,False,101,27,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,2,United States of America,Netherlands,MD Patel,SR Mukkamalla,LV van Beek,4,0,2,False,100,31,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,3,United States of America,Netherlands,MD Patel,SR Mukkamalla,LV van Beek,1,0,3,False,99,32,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,4,United States of America,Netherlands,SR Mukkamalla,MD Patel,LV van Beek,1,0,4,False,98,33,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,5,United States of America,Netherlands,MD Patel,SR Mukkamalla,LV van Beek,1,0,5,False,97,34,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,4,6,United States of America,Netherlands,SR Mukkamalla,MD Patel,LV van Beek,0,0,6,False,96,34,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,1,United States of America,Netherlands,MD Patel,SR Mukkamalla,K Klein,2,0,1,False,95,36,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,2,United States of America,Netherlands,MD Patel,SR Mukkamalla,K Klein,4,0,2,False,94,40,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,3,United States of America,Netherlands,MD Patel,SR Mukkamalla,K Klein,0,0,3,False,93,40,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,4,United States of America,Netherlands,MD Patel,SR Mukkamalla,K Klein,1,0,4,False,92,41,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,5,United States of America,Netherlands,SR Mukkamalla,MD Patel,K Klein,1,0,5,False,91,42,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,5,6,United States of America,Netherlands,MD Patel,SR Mukkamalla,K Klein,0,0,6,False,90,42,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,1,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,6,0,1,False,89,48,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,2,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,0,0,2,False,88,48,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,3,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,4,0,3,False,87,52,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,4,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,0,0,4,False,86,52,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,5,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,0,0,5,False,85,52,False,1,196,103,197,,,,,,,,,,drop
1512739,2025/26,2026-02-13,"MA Chidambaram Stadium, Chepauk, Chennai",1,6,6,United States of America,Netherlands,SR Mukkamalla,MD Patel,FJ Klaassen,1,0,6,False,84,53,False,1,196,103,197,,,,,,,,,,drop
