match_id,date,innings,team,player,overs,balls_bowled,wickets,runs_conceded,economy,maidens,wides,no_balls
1512728,2026-02-10,1,Netherlands,LV van Beek,3.0,18,2,14,4.67,0,1,0
1512728,2026-02-10,1,Netherlands,BFW de Leede,3.0,18,2,21,7.0,0,2,0
1512728,2026-02-10,1,Netherlands,A Dutt,3.0,18,1,13,4.33,0,0,0
1512728,2026-02-10,1,Netherlands,FJ Klaassen,3.0,18,1,26,8.67,0,2,0
1512728,2026-02-10,1,Netherlands,ZB Lion-Cachet,1.0,6,0,6,6.0,0,0,1
1512728,2026-02-10,1,Netherlands,T van der Gugten,2.0,12,0,21,10.5,0,0,0
1512728,2026-02-10,1,Netherlands,CN Ackermann,3.0,18,0,33,11.0,0,1,0
1512728,2026-02-10,1,Netherlands,RE van der Merwe,2.0,12,0,22,11.0,0,0,0
1512728,2026-02-10,2,Namibia,BM Scholtz,4.0,24,1,27,6.75,0,0,0
1512728,2026-02-10,2,Namibia,R Trumpelmann,4.0,24,1,30,7.5,0,1,0
1512728,2026-02-10,2,Namibia,JN Loftie-Eaton,2.0,12,1,31,15.5,0,0,0
1512728,2026-02-10,2,Namibia,WP Myburgh,2.0,12,0,13,6.5,0,0,0
1512728,2026-02-10,2,Namibia,JJ Smit,3.0,18,0,25,8.33,0,0,0
1512728,2026-02-10,2,Namibia,M Heingo,2.0,12,0,22,11.0,0,0,0
1512728,2026-02-10,2,Namibia,MG Erasmus,1.0,6,0,11,11.0,0,0,0
